battery,Year,Car_Brand,Name,mileage_in_km,price_in_usd,AGM,battery_price
,2019,Ram,2500,18254,31875,,
,2019,Ram,3500,80467,5625,,
,2020,Nissan,370 Z,38624,37500,,
,2022,Mercedes-Benz,450,7000,237000,Y,
,1992,Peugeot,605,300000,1500,,
,1995,Mercedes-Benz,609D,156000,15000,,
,2022,Porsche,718,451,,Y,
,2022,Porsche,718,20,,Y,
,2011,Audi,A7,180000,21000,,
,2020,Audi,A7,28700,82500,Y,
,2011,Mitsubishi,ASX,173809,11800,,
,2003,Toyota,Aristo,151000,14300,,
,2019,Renault,Arkana,77000,18500,,
,2008,Nissan,Armada,151278,19000,,
,2021,Volkswagen,Arteon,51499,9375,Y,
,2019,Toyota,Avalon,85295,13750,,
,2018,Hyundai,Avante,25152,15000,,
,2021,Lincoln,Aviator,35406,15000,,
,2019,FAW,Besturn B50,45000,14800,,
,2022,Citroen,C3,30,14815,,
,2023,Volvo,C40,1250,62500,Y,
,2023,Volvo,C40,10,58125,Y,
,2022,Cadillac,CT6,2500,,,
,2019,Cadillac,CTS,128748,6000,,
,2023,Mazda,CX 50,1600,35000,,
,2023,Mazda,CX 50,16000,34700,,
,2008,Mazda,CX7,265542,8500,,
,2008,Mazda,CX7,150000,6500,,
,2007,Kia,Carens,165700,6500,,
,2018,Kia,Carnival,45000,29500,,
,2012,Kia,Cerato,262000,7987,,
,2011,Kia,Cerato,127000,8300,,
,2001,Mitsubishi,Chariot,33580,5200,,
,2018,Mini,Clubman,37015,23700,,
,2023,Chevrolet,Cobalt,10,19506,,
,2023,Lincoln,Continental,3238,,,
,2019,Lincoln,Continental,61960,20937.5,,
,2010,Bentley,Continental Flying Spur,160000,28500,,
,1991,Chevrolet,Corsica,100000,3500,,
,2015,Dodge,Dart,190000,11000,,
,2004,Mitsubishi,Delica,150000,15500,,
,2017,Renault,Duster,250000,,,
,2019,Lotus,Elise,5844,81250,,
,2020,Ford,Escort,17328,5500,,
,2007,Toyota,Estima,280000,10800,,
,2020,Lotus,Europa,14323,96250,,
,2022,Ford,Expedition,33796,29375,,
,2019,Ford,Expedition,107826,26250,,
,2010,Chevrolet,Express,95000,13500,,
,2017,Chevrolet,Express,50387,16250,,
,2016,Ferrari,F12,30000,195000,,
,2019,Volvo,FH,310000,,Y,
,2022,Toyota,FJ Cruiser,10,75000,,
,2006,Toyota,FJ Cruiser,225000,28900,,
,1987,Cadillac,Fleetwood,120701,,,
,2019,Ford,Flex,77249,4750,,
,2012,Infiniti,G25,175000,10300,,
,2003,Infiniti,G35,192000,4800,,
,2009,Infiniti,G37,183465,8300,,
,2022,Genesis,GV80,6500,83000,,
,2022,Hyundai,Genesis,20000,77500,,
,2023,Wuling,Golf Car,11,13210,,
,2023,Wuling,Golf Car,11,10988,,
,2003,Mitsubishi,Grandis,234000,6500,,
,2004,Mitsubishi,Grandis,210000,7333,,
,2023,Chevrolet,Groove,13,30617,,
,2013,Hyundai,H-1,226000,13800,,
,2004,Hummer,H2,130000,32000,,
,2009,Hummer,H3,140000,24000,,
,2010,Lexus,HS 250,175418,13200,,
,2010,Lexus,HS 250,140000,14500,,
,2023,Toyota,Hiace,500,42000,,
,2016,Toyota,Hiace,53000,37500,,
,2022,Lamborghini,Huracan,20,,Y,
,2015,Lamborghini,Huracan,60000,275000,Y,
,2020,Kia,K7,34380,33200,,
,2017,Renault,Kaptur,44700,15300,,
,2022,Iran,Khodro Dena,2000,14500,,
,2023,Skoda,Kodiaq,17000,17500,,
,2014,Ford,Kuga,132000,14815,,
,2023,Lexus,LC 500h,991,107500,Y,
,2019,Lincoln,LS,85295,10000,,
,2022,Lexus,LX 500d,40,233700,Y,
,2022,Cadillac,LaSalle,30,65000,,
,2017,Mitsubishi,Lancer,128748,12700,,
,2009,Mitsubishi,Lancer,190000,6800,,
,2020,Toyota,Land Cruiser 80,45712,82125,,
,1995,Toyota,Land Cruiser 80,15000,18500,,
,2012,Jeep,Liberty,183000,15500,,
,2021,Jeep,Liberty,16925,27750,,
,2012,Infiniti,M37 Sport,92000,9900,,
,2013,BMW,M6,151000,55000,Y,
,2021,Lincoln,MKC,30578,9875,,
,2019,Lincoln,MKT,104607,5000,,
,2015,Lincoln,MKX,144841,21900,,
,2010,Daewoo,Matiz,270000,2469,,
,2022,Ford,Maverick,48280,17500,,
,2022,Chevrolet,Menlo,12500,20247,,
,2014,Nissan,Micra,210000,4500,,
,2000,Mazda,Millenia,167000,5500,,
,2017,Kia,Mohave,32187,36000,,
,2022,Mitsubishi,Montero,50,50000,,
,2019,Nissan,NV200,70000,5625,,
,2019,Nissan,NV200,12474,7000,,
,2007,Mitsubishi,Nativa,230000,14000,,
,1998,Lincoln,Navigator,170000,10000,,
,2019,Lincoln,Navigator,59546,10000,,
,2019,Volkswagen,New Beetle,40000,17000,Y,
,2019,Volkswagen,New Beetle,82077,4375,Y,
,2023,Chevrolet,Onix,11,27901,,
,2023,Chevrolet,Onix,11,28642,,
,2007,Peugeot,Partner,250000,3704,,
,2011,Peugeot,Partner,152000,6400,,
,2010,Volkswagen,Phaeton,191000,14000,,
,2007,Kia,Picanto,187787,5800,,
,2005,Volkswagen,Polo,190000,5700,,
,2022,Audi,Q4,13000,89700,Y,
,2001,Infiniti,QX4,280000,6300,,
,2016,Infiniti,QX70,160934,30000,Y,
,2018,Nissan,Qashqai,37000,17300,,
,2017,Nissan,Quest,130357,19000,,
,2010,Mercedes-Benz,R 350,200000,11000,,
,2006,Mercedes-Benz,R 350,66000,10000,,
,2019,Audi,RS2,45062,7500,Y,
,2023,Audi,RSQ8,50,177000,Y,
,2017,Honda,Ridgeline,16000,23375,,
,1999,Isuzu,Rodeo,98000,5500,,
,2021,Audi,S3,25000,,Y,
,2021,Audi,S3,8500,,Y,
,2023,Audi,S4,848,57500,Y,
,2023,Audi,S4,848,57250,Y,
,2021,Audi,S7,2967,,Y,
,2021,Audi,S7,27967,,Y,
,2021,Audi,S8/R8,50,,Y,
,2017,Volvo,S90,21735,14875,Y,
,2022,Hyundai,Santa Cruz,78000,16875,,
,2023,Chevrolet,Seeker,12,37531,,
,2023,Chevrolet,Seeker,10,32099,,
,2019,GMC,Sierra,112654,18125,,
,2018,GMC,Sierra,17347,19125,,
,2004,Nissan,Skyline,153000,5000,,
,2022,Hyundai,Solaris,38500,23700,,
,2023,Subaru,Solterra,10,76250,,
,2007,Honda,Stream,138000,8148,,
,2021,Chevrolet,Suburban,25750,27500,,
,2019,Chevrolet,Suburban,10000,15000,,
,2007,Nissan,Sunny,232000,3704,,
,2019,Toyota,Supra,1786,90000,,
,2019,Toyota,Supra,5294,69000,,
,2014,Suzuki,Swift,90000,12000,,
,2011,Acura,TSX,211851,7000,,
,2019,Audi,TT,17255,92500,Y,
,2019,Audi,TT,19000,82500,Y,
,2022,Kia,Telluride,31000,45700,,
,2021,Kia,Telluride,59546,14375,,
,2005,Volkswagen,Touran,162300,5700,,
,2023,Chevrolet,Tracker,29,34321,,
,2023,Chevrolet,Tracker,27,34321,,
,1996,Volkswagen,Transporter,280000,5200,,
,2023,Neta,U 500 Pro,77,24198,,
,2023,Changan,UNI-K,42,36500,,
,2023,Changan,UNI-K,63,36500,,
,2017,Volvo,V60,21835,7375,Y,
,2021,Volvo,V90,17950,,Y,
,2022,Volvo,V90,3500,,Y,
,2022,Hyundai,Venue,51499,5625,,
,2022,Hyundai,Venue,17703,5625,,
,2021,Toyota,Venza,16852,23125,,
,2021,Toyota,Venza,37015,35500,,
,2005,Toyota,Vitz,205000,5000,,
,2010,Toyota,Vitz,165000,6700,,
,2022,Jeep,Wagoner,30578,30625,,
,2004,Nissan,Wingroad,328000,3800,,
,2018,BMW,X2,83686,8750,Y,
,2020,BMW,X2,46671,13125,Y,
,2023,Jetour,X70 PLUS,15,35700,,
,2017,Volvo,XC60,50150,,Y,
,2022,Volvo,XC60,10,,Y,
,2022,Alpina,XD3,4800,,,
,2022,Alpina,XD3,9000,,,
,2019,Jaguar,XJR,31492,47500,Y,
,1993,Jaguar,XJSC Convertible,135000,33000,,
,2020,Cadillac,XT4,32187,28000,,
,2021,Cadillac,XT6,23000,67000,,
,2020,Cadillac,XT6,74030,15000,,
,2022,GMC,Yukon,16093,43750,,
100Ah,1994,Mercedes-Benz,124,500000,4300,,47000
100Ah,1992,Mercedes-Benz,124,210000,5500,,47000
100Ah,1992,Mercedes-Benz,124,210000,5500,,47000
100Ah,1994,Mercedes-Benz,180,12345,7500,,47000
100Ah,1998,Mercedes-Benz,180,300000,5700,,47000
100Ah,1997,Mercedes-Benz,180,170033,6000,,47000
100Ah,2002,Mercedes-Benz,320,291000,9300,,47000
100Ah,2008,Mercedes-Benz,350,124000,13500,,47000
100Ah,2009,Mercedes-Benz,350,157000,14000,,47000
100Ah,2021,Mercedes-Benz,350,30000,67000,Y,47000
100Ah,2019,BMW,418,77000,,Y,47000
100Ah,2023,BMW,420,10,,Y,47000
100Ah,2019,BMW,420,27700,,Y,47000
100Ah,2022,BMW,420,30082,,Y,47000
100Ah,2022,BMW,420,6821,,Y,47000
100Ah,2022,BMW,420,11900,,Y,47000
100Ah,2016,BMW,428,101389,19700,Y,47000
100Ah,2016,BMW,428,131907,17750,Y,47000
100Ah,2016,BMW,428,105000,30000,Y,47000
100Ah,2017,BMW,428,99779,24000,Y,47000
100Ah,2014,BMW,428,99000,21000,Y,47000
100Ah,2015,BMW,428,146450,19600,Y,47000
100Ah,2016,BMW,428,110000,28500,Y,47000
100Ah,2016,BMW,428,114114,19375,Y,47000
100Ah,2016,BMW,428,139297,18750,Y,47000
100Ah,2016,BMW,428,105061,18750,Y,47000
100Ah,2018,BMW,430,67592,30000,Y,47000
100Ah,2017,BMW,430,100000,24500,Y,47000
100Ah,2018,BMW,430,82077,22500,Y,47000
100Ah,2018,BMW,430,67000,19000,Y,47000
100Ah,2016,BMW,430,71300,24500,Y,47000
100Ah,2018,BMW,430,33796,20625,Y,47000
100Ah,2018,BMW,430,85000,31500,Y,47000
100Ah,2018,BMW,430,85000,28700,Y,47000
100Ah,2018,BMW,430,77249,33700,Y,47000
100Ah,2017,BMW,430,80000,23400,Y,47000
100Ah,2019,BMW,430,35000,,Y,47000
100Ah,2023,BMW,430,12484,62500,Y,47000
100Ah,2017,BMW,430,74030,6250,Y,47000
100Ah,2017,BMW,430,104607,25500,Y,47000
100Ah,2019,BMW,435,54673,,Y,47000
100Ah,2018,BMW,440,20000,12250,Y,47000
100Ah,2019,BMW,440,29486,,Y,47000
100Ah,2020,BMW,440,30000,,Y,47000
100Ah,2001,BMW,520,255000,8900,Y,47000
100Ah,2024,BMW,520,10,,Y,47000
100Ah,2014,BMW,520,125000,19009,Y,47000
100Ah,2004,BMW,525,271000,7700,Y,47000
100Ah,2004,BMW,525,130000,9000,Y,47000
100Ah,2007,BMW,525,170000,10000,Y,47000
100Ah,2005,BMW,525,236000,8800,Y,47000
100Ah,2004,BMW,525,202000,8200,Y,47000
100Ah,2006,BMW,525,100000,11200,Y,47000
100Ah,2015,BMW,528,58000,20300,Y,47000
100Ah,2016,BMW,528,65000,23900,Y,47000
100Ah,2015,BMW,528,109435,23500,Y,47000
100Ah,2011,BMW,528,205000,16200,Y,47000
100Ah,2009,BMW,528,285000,9500,Y,47000
100Ah,2007,BMW,528,260000,9500,Y,47000
100Ah,2008,BMW,528,270000,4700,Y,47000
100Ah,2016,BMW,528,111045,18750,Y,47000
100Ah,2009,BMW,528,204387,12700,Y,47000
100Ah,2016,BMW,528,124000,19900,Y,47000
100Ah,2004,BMW,528,182342,8500,Y,47000
100Ah,2015,BMW,528,177000,19000,Y,47000
100Ah,2011,BMW,528,60000,20000,Y,47000
100Ah,2007,BMW,528,283000,9000,Y,47000
100Ah,2008,BMW,528,292000,10500,Y,47000
100Ah,2016,BMW,528,84629,17500,Y,47000
100Ah,2019,BMW,530,93000,38000,Y,47000
100Ah,2018,BMW,530,138000,42000,Y,47000
100Ah,2017,BMW,530,84000,32000,Y,47000
100Ah,2017,BMW,530,83686,31000,Y,47000
100Ah,2020,BMW,530,35000,47000,Y,47000
100Ah,2017,BMW,530,98000,43000,Y,47000
100Ah,2004,BMW,530,250000,8650,Y,47000
100Ah,2018,BMW,530,91000,32000,Y,47000
100Ah,2017,BMW,530,56000,35000,Y,47000
100Ah,2019,BMW,530,59546,39000,Y,47000
100Ah,2017,BMW,530,46000,35000,Y,47000
100Ah,2021,BMW,530,24000,59000,Y,47000
100Ah,2018,BMW,530,119000,37000,Y,47000
100Ah,2018,BMW,530,112654,47000,Y,47000
100Ah,2017,BMW,530,140013,35000,Y,47000
100Ah,2017,BMW,530,50000,,Y,47000
100Ah,2019,BMW,530,18324,15875,Y,47000
100Ah,2017,BMW,530,80000,,Y,47000
100Ah,2023,BMW,530,61,52500,Y,47000
100Ah,2021,BMW,530,38000,45500,Y,47000
100Ah,2022,BMW,530,12000,66000,Y,47000
100Ah,2018,BMW,530,19345,14000,Y,47000
100Ah,2018,BMW,530,18345,14000,Y,47000
100Ah,2019,BMW,530,18364,17875,Y,47000
100Ah,2019,BMW,530,18325,17750,Y,47000
100Ah,2019,BMW,530,18354,17875,Y,47000
100Ah,2018,BMW,530,18694,13875,Y,47000
100Ah,2020,BMW,530,18364,21500,Y,47000
100Ah,2018,BMW,530,18347,14125,Y,47000
100Ah,2022,BMW,530,15739,29250,Y,47000
100Ah,2019,BMW,530,18354,18000,Y,47000
100Ah,2020,BMW,530,86000,46700,Y,47000
100Ah,2018,BMW,530,88000,43700,Y,47000
100Ah,2019,BMW,530,62000,36700,Y,47000
100Ah,2019,BMW,530,36000,35000,Y,47000
100Ah,2020,BMW,530,22531,48700,Y,47000
100Ah,2018,BMW,530,60350,37300,Y,47000
100Ah,2011,BMW,530,243011,15000,Y,47000
100Ah,2007,BMW,530,144000,12000,Y,47000
100Ah,2023,BMW,530,18862,51250,Y,47000
100Ah,2019,BMW,530,18347,6500,Y,47000
100Ah,2021,BMW,530,14484,19250,Y,47000
100Ah,2018,BMW,530,18374,11750,Y,47000
100Ah,2019,BMW,530,17625,15250,Y,47000
100Ah,2015,BMW,535,162000,21975,Y,47000
100Ah,2010,BMW,535,196000,11900,Y,47000
100Ah,2010,BMW,535,198000,13700,Y,47000
100Ah,2008,BMW,535,202000,9800,Y,47000
100Ah,2012,BMW,535,200000,19900,Y,47000
100Ah,2014,BMW,535,113000,20500,Y,47000
100Ah,2016,BMW,535,165000,22000,Y,47000
100Ah,2012,BMW,535,93000,19900,Y,47000
100Ah,2011,BMW,535,196000,19500,Y,47000
100Ah,2017,BMW,535,60000,,Y,47000
100Ah,2012,BMW,535,176000,18900,Y,47000
100Ah,2008,BMW,535,275000,7500,Y,47000
100Ah,2022,BMW,535,41711,48750,Y,47000
100Ah,2012,BMW,535,220480,18400,Y,47000
100Ah,2016,BMW,535,116211,19375,Y,47000
100Ah,2016,BMW,535,123443,19375,Y,47000
100Ah,2016,BMW,535,128748,18750,Y,47000
100Ah,2008,BMW,535,270000,8800,Y,47000
100Ah,2018,BMW,540,104607,42000,Y,47000
100Ah,2020,BMW,540,107826,45000,Y,47000
100Ah,2022,BMW,540,17000,72000,Y,47000
100Ah,2019,BMW,540,40000,48000,Y,47000
100Ah,2018,BMW,540,19364,13875,Y,47000
100Ah,2018,BMW,540,18346,14000,Y,47000
100Ah,2020,BMW,540,17356,23875,Y,47000
100Ah,2022,BMW,540,25500,,Y,47000
100Ah,2019,BMW,540,61155,43200,Y,47000
100Ah,2019,BMW,540,70000,43700,Y,47000
100Ah,2019,BMW,540,82000,50700,Y,47000
100Ah,2018,BMW,540,110000,35700,Y,47000
100Ah,2021,BMW,540,16000,,Y,47000
100Ah,2023,BMW,540,29161,50000,Y,47000
100Ah,2019,BMW,550,121000,,Y,47000
100Ah,2017,BMW,550,70000,40000,Y,47000
100Ah,2012,BMW,550,150000,17500,Y,47000
100Ah,2014,BMW,640,55200,30000,Y,47000
100Ah,2006,BMW,645,200000,6990,Y,47000
100Ah,2013,BMW,650,90000,35000,Y,47000
100Ah,2018,BMW,650,99779,44000,Y,47000
100Ah,2012,BMW,650,120000,31500,Y,47000
100Ah,2019,BMW,730,97000,43000,Y,47000
100Ah,2022,BMW,730,10000,100000,Y,47000
100Ah,2022,BMW,730,28200,,Y,47000
100Ah,2021,BMW,730,66600,,Y,47000
100Ah,2022,BMW,730,24800,,Y,47000
100Ah,2022,BMW,730,25000,,Y,47000
100Ah,2023,BMW,735,10,,Y,47000
100Ah,2023,BMW,735,10,,Y,47000
100Ah,2011,BMW,740,170000,17600,Y,47000
100Ah,2019,BMW,740,77249,56000,Y,47000
100Ah,2018,BMW,740,197949,48000,Y,47000
100Ah,2023,BMW,740,17000,,Y,47000
100Ah,2017,BMW,740,182000,48500,Y,47000
100Ah,2016,BMW,740,160934,41000,Y,47000
100Ah,2011,BMW,740,196000,17300,Y,47000
100Ah,2011,BMW,740,220000,15000,Y,47000
100Ah,2017,BMW,740,53900,31250,Y,47000
100Ah,2018,BMW,740,16000,38750,Y,47000
100Ah,2022,BMW,740,10,,Y,47000
100Ah,2022,BMW,740,10,,Y,47000
100Ah,2023,BMW,740,24000,,Y,47000
100Ah,2018,BMW,740,40234,47250,Y,47000
100Ah,2020,BMW,740,33500,91000,Y,47000
100Ah,2017,BMW,740,98170,35750,Y,47000
100Ah,2017,BMW,740,94000,45000,Y,47000
100Ah,2021,BMW,740,27700,,Y,47000
100Ah,2021,BMW,740,46540,,Y,47000
100Ah,2023,BMW,740,15,,Y,47000
100Ah,2023,BMW,740,25,,Y,47000
100Ah,2023,BMW,740,10,,Y,47000
100Ah,2023,BMW,740,10,246250,Y,47000
100Ah,2019,BMW,740,75000,,Y,47000
100Ah,2023,BMW,740,10,,Y,47000
100Ah,2023,BMW,740,10,,Y,47000
100Ah,2023,BMW,740,10,,Y,47000
100Ah,2023,BMW,740,50,,Y,47000
100Ah,2014,BMW,740,140013,21500,Y,47000
100Ah,2023,BMW,740,10,,Y,47000
100Ah,2023,BMW,740,10,,Y,47000
100Ah,2023,BMW,740,10,,Y,47000
100Ah,2022,BMW,740,20000,95000,Y,47000
100Ah,2016,BMW,740,69202,40000,Y,47000
100Ah,2017,BMW,740,105000,51500,Y,47000
100Ah,2002,BMW,745,360000,7500,Y,47000
100Ah,2016,BMW,750,70000,54900,Y,47000
100Ah,2015,BMW,750,50000,51000,Y,47000
100Ah,2018,BMW,750,93342,17500,Y,47000
100Ah,2009,BMW,750,129000,13800,Y,47000
100Ah,2017,BMW,750,90000,52900,Y,47000
100Ah,2006,BMW,750,230000,1111,Y,47000
100Ah,2010,BMW,750,220000,10500,Y,47000
100Ah,2017,BMW,750,64519,42500,Y,47000
100Ah,2019,BMW,750,43000,90000,Y,47000
100Ah,2022,BMW,750,19,,Y,47000
100Ah,2011,BMW,750,191512,,Y,47000
100Ah,2017,BMW,750,80000,62000,Y,47000
100Ah,2012,BMW,750,148060,,Y,47000
100Ah,2016,BMW,750,60000,57700,Y,47000
100Ah,2021,BMW,750,13000,89700,Y,47000
100Ah,2023,BMW,750,10,,Y,47000
100Ah,2015,BMW,750,117000,41000,Y,47000
100Ah,2017,BMW,750,80000,78700,Y,47000
100Ah,2009,BMW,750,230000,13400,Y,47000
100Ah,2020,BMW,750,75639,21250,Y,47000
100Ah,2014,BMW,750,160000,22000,Y,47000
100Ah,2021,BMW,750,31000,125000,Y,47000
100Ah,2020,BMW,750,45000,91000,Y,47000
100Ah,2023,BMW,760,50,,Y,47000
100Ah,2023,BMW,760,10,,Y,47000
100Ah,2021,BMW,760,2100,195000,Y,47000
100Ah,2023,BMW,760,10,,Y,47000
100Ah,2020,BMW,760,96561,100000,Y,47000
100Ah,2022,Mercedes-Benz,A 45 AMG,2999,,Y,47000
100Ah,2022,Mercedes-Benz,A 45 AMG,3090,,Y,47000
100Ah,2022,Mercedes-Benz,A 45 AMG,5000,,Y,47000
100Ah,2022,Mercedes-Benz,A 45 AMG,15,,Y,47000
100Ah,2023,Mercedes-Benz,A 45 AMG,10,,Y,47000
100Ah,2023,Mercedes-Benz,A 45 AMG,10,,Y,47000
100Ah,2007,Bentley,Azure,35000,195000,,47000
100Ah,2014,Mercedes-Benz,B Electric Drive,105000,15900,,47000
100Ah,2019,Alpina,B4,1767,82500,,50000
100Ah,2023,Alpina,B4,10,,,50000
100Ah,2022,Alpina,B4,12900,,,50000
100Ah,2023,Alpina,B4,10,,,50000
100Ah,1997,Mercedes-Benz,C 180,250000,4900,,47000
100Ah,1997,Mercedes-Benz,C 180,400000,5600,,47000
100Ah,2014,Mercedes-Benz,C 180,210000,20900,,47000
100Ah,2002,Mercedes-Benz,C 180,176000,6200,,47000
100Ah,1998,Mercedes-Benz,C 180,187000,5100,,47000
100Ah,1999,Mercedes-Benz,C 180,191000,5600,,47000
100Ah,2015,Mercedes-Benz,C 180,80500,33750,Y,47000
100Ah,1998,Mercedes-Benz,C 180,186000,5800,,47000
100Ah,1995,Mercedes-Benz,C 180,360000,4500,,47000
100Ah,1994,Mercedes-Benz,C 180,300000,4938,,47000
100Ah,1998,Mercedes-Benz,C 180,160000,6200,,47000
100Ah,1998,Mercedes-Benz,C 180,354000,4500,,47000
100Ah,2022,Mercedes-Benz,C 180,7500,,Y,47000
100Ah,2022,Mercedes-Benz,C 180,5000,,Y,47000
100Ah,1998,Mercedes-Benz,C 180,777777,5500,,47000
100Ah,2018,Mercedes-Benz,C 180,77000,33700,Y,47000
100Ah,2000,Mercedes-Benz,C 180,180000,7000,,47000
100Ah,2000,Mercedes-Benz,C 180,200000,7000,,47000
100Ah,2015,Mercedes-Benz,C 180,103000,24000,Y,47000
100Ah,1996,Mercedes-Benz,C 180,270000,3500,,47000
100Ah,1994,Mercedes-Benz,C 180,250000,2900,,47000
100Ah,1996,Mercedes-Benz,C 180,322222,3800,,47000
100Ah,1997,Mercedes-Benz,C 180,225000,4500,,47000
100Ah,2020,Mercedes-Benz,C 180,27000,38500,Y,47000
100Ah,1994,Mercedes-Benz,C 200,350000,4400,,47000
100Ah,1998,Mercedes-Benz,C 200,320000,6450,,47000
100Ah,1997,Mercedes-Benz,C 200,261000,4300,,47000
100Ah,2007,Mercedes-Benz,C 200,210000,11800,,47000
100Ah,2022,Mercedes-Benz,C 200,8000,62300,Y,47000
100Ah,2020,Mercedes-Benz,C 200,13794,,Y,47000
100Ah,2022,Mercedes-Benz,C 200,9900,,Y,47000
100Ah,2021,Mercedes-Benz,C 200,35000,,Y,47000
100Ah,2006,Mercedes-Benz,C 200,214000,6000,,47000
100Ah,2018,Mercedes-Benz,C 200,44000,42000,Y,47000
100Ah,1997,Mercedes-Benz,C 230,244620,8000,,47000
100Ah,2005,Mercedes-Benz,C 240,260000,6800,,47000
100Ah,2001,Mercedes-Benz,C 240,205000,6400,,47000
100Ah,2000,Mercedes-Benz,C 240,230000,6200,,47000
100Ah,2002,Mercedes-Benz,C 240,220000,6300,,47000
100Ah,2003,Mercedes-Benz,C 240,350000,6000,,47000
100Ah,2001,Mercedes-Benz,C 240,186000,6700,,47000
100Ah,2000,Mercedes-Benz,C 240,160000,7600,,47000
100Ah,2023,Mercedes-Benz,C 240,1764,43750,Y,47000
100Ah,2003,Mercedes-Benz,C 240,290000,6300,,47000
100Ah,2007,Mercedes-Benz,C 250,138000,14500,,47000
100Ah,2013,Mercedes-Benz,C 250,165000,16000,,47000
100Ah,2012,Mercedes-Benz,C 250,205000,13400,,47000
100Ah,2007,Mercedes-Benz,C 250,137000,12500,,47000
100Ah,2015,Mercedes-Benz,C 250,120000,25500,Y,47000
100Ah,2009,Mercedes-Benz,C 300,190000,12500,,47000
100Ah,2008,Mercedes-Benz,C 300,165000,12500,,47000
100Ah,2002,Mercedes-Benz,C 320,240000,6500,,47000
100Ah,2005,Mercedes-Benz,C 320,250000,7200,,47000
100Ah,2013,Mercedes-Benz,C 350,188000,15700,,47000
100Ah,2015,Mercedes-Benz,C 400,110000,30000,Y,47000
100Ah,2017,Mercedes-Benz,C 43 AMG,92000,33500,Y,47000
100Ah,2022,Mercedes-Benz,C 43 AMG,8100,,Y,47000
100Ah,2022,Mercedes-Benz,C 43 AMG,4000,,Y,47000
100Ah,2019,Mercedes-Benz,C 43 AMG,51500,,Y,47000
100Ah,2022,Mercedes-Benz,C 63 AMG,10050,,Y,47000
100Ah,2022,Mercedes-Benz,C 63 AMG,7500,,Y,47000
100Ah,2022,Mercedes-Benz,C 63 AMG,3001,,Y,47000
100Ah,2022,Mercedes-Benz,C 63 AMG,5000,,Y,47000
100Ah,2022,Mercedes-Benz,C 63 AMG,10,,Y,47000
100Ah,2019,Mercedes-Benz,C 63 AMG,20321,,Y,47000
100Ah,2019,Mercedes-Benz,C 63 AMG,15100,,Y,47000
100Ah,2021,Mercedes-Benz,C 63 AMG,13000,,Y,47000
100Ah,2021,Mercedes-Benz,C 63 AMG,13490,,Y,47000
100Ah,2023,Mercedes-Benz,C 63 AMG,10,,Y,47000
100Ah,2023,Mercedes-Benz,C 63 AMG,450,,Y,47000
100Ah,2023,Mercedes-Benz,C 63 AMG,10,,Y,47000
100Ah,2022,Mercedes-Benz,C 63 AMG,9500,,Y,47000
100Ah,2017,Mercedes-Benz,CE 300,19347,8875,Y,47000
100Ah,2000,Mercedes-Benz,CL 500,235000,10000,,47000
100Ah,2008,Mercedes-Benz,CL 500,174000,19000,,47000
100Ah,2022,Mercedes-Benz,CLA 180,14500,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,27458,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,12000,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,1500,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,9500,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,9500,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,9500,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,9900,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,4290,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 180,4900,,Y,47000
100Ah,2014,Mercedes-Benz,CLA 200,200000,18000,,47000
100Ah,2022,Mercedes-Benz,CLA 200,20000,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,15220,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,14526,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,9900,,Y,47000
100Ah,2019,Mercedes-Benz,CLA 200,65000,27500,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,7030,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,11550,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,9900,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,15000,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,18000,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,16500,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,9900,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,21185,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,7900,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,8000,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,1950,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,10690,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,14600,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,7100,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,10500,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,14000,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,10800,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,12800,,Y,47000
100Ah,2022,Mercedes-Benz,CLA 200,3000,,Y,47000
