battery,Year,Car_Brand,Name,mileage_in_km,price_in_usd,AGM,battery_price
60Ah,2018,Dodge,Durango,19256,15625,,26000
60Ah,2021,Dodge,Durango,27359,19375,,26000
60Ah,2022,Hongqi,E-HS9,12000,136000,Y,60000
60Ah,2022,Jaguar,E-Pace,4900,,Y,60000
60Ah,2022,Jaguar,E-Pace,7500,,Y,60000
60Ah,2022,Jaguar,E-Pace,15000,,Y,60000
60Ah,2022,Jaguar,E-Pace,10,,Y,60000
60Ah,2020,Jaguar,E-Pace,58667,28750,Y,60000
60Ah,2020,Jaguar,E-Pace,36275,26250,Y,60000
60Ah,2020,Jaguar,E-Pace,83205,30625,Y,60000
60Ah,2020,Jaguar,E-Pace,39670,30000,Y,60000
60Ah,2023,Changan,E-Star,25,12300,Y,60000
60Ah,2023,Changan,E-Star,20,10300,Y,60000
60Ah,2023,Changan,E-Star,20,12840,Y,60000
60Ah,2014,Cadillac,ELR,130357,14800,,26000
60Ah,2014,Cadillac,ELR,185075,16900,,26000
