link,title,district,description,price
https://www.list.am/item/20825212,"Աջափնյակ, 2 սեն., 76 ք.մ., 10/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Հովհաննես Շիրազի փողոցում, 76 ք.մ., 10/14 հարկ, կապիտալ վերանորոգված",87000
https://www.list.am/item/20618973,"Աջափնյակ, 3 սեն., 73 ք.մ., 9/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Մարգարյան 2-րդ նրբանցք, 73 ք.մ., կապիտալ վերանորոգված",115000
https://www.list.am/item/20568038,"Աջափնյակ, 3 սեն., 73 ք.մ., 7/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Շինարարների փողոցում, 73 ք.մ., 7/12 հարկ, բարձր առաստաղներ",120000
https://www.list.am/item/19942366,"Աջափնյակ, 3 սեն., 76 ք.մ., 4/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Հալաբյան փողոցում, 76 ք.մ., կապիտալ վերանորոգված, քարե շենք",115000
https://www.list.am/item/19184801,"Աջափնյակ, 3 սեն., 80 ք.մ., 5/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Մարգարյան փողոցում, 80 ք.մ., կապիտալ վերանորոգված, քարե շենք",102000
https://www.list.am/item/15449761,"Աջափնյակ, 3 սեն., 73 ք.մ., 1/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 73 ք.մ., 1/4 հարկ, կապիտալ վերանորոգված, քարե շենք",110000
https://www.list.am/item/20889972,"Աջափնյակ, 2 սեն., 76 ք.մ., 13/16 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Բաշինջաղյան փողոցում, 76 ք.մ., 13/16 հարկ, կապիտալ վերանորոգված",84000
https://www.list.am/item/19505346,"Աջափնյակ, 3 սեն., 70 ք.մ., 3/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում, Նորաշեն թաղամաս, 70 ք.մ., 3/12 հարկ, կապիտալ վերանորոգված",155000
https://www.list.am/item/19015220,"Աջափնյակ, 2 սեն., 71 ք.մ., 10/10 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում Լենինգրադյան փողոցում, 71 ք.մ., մի քանի պատշգամբ",90000
https://www.list.am/item/20903369,"Աջափնյակ, 3 սեն., 70 ք.մ., 1/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նորաշեն թաղամաս, 70 ք.մ., 1/16 հարկ, բարձր առաստաղներ, կապիտալ վերանորոգված",100000
